Iteración,a,b,c,f(c),Error %
1,32.0,32.5,32.25,0.11745535714280209,100.0
2,32.25,32.5,32.375,0.05146205357138456,0.3861003861003861
3,32.375,32.5,32.4375,0.01889229910709389,0.1926782273603083
4,32.4375,32.5,32.46875,0.0027141462053066334,0.0962463907603465
5,32.46875,32.5,32.484375,-0.005348249162992147,0.0481000481000481
6,32.46875,32.484375,32.4765625,-0.0013192749023929196,0.024055809477988934
7,32.46875,32.4765625,32.47265625,0.0006968797955693162,0.012029351617947793
8,32.47265625,32.4765625,32.474609375,-0.00031133651739168045,0.006014314067480603
9,32.47265625,32.474609375,32.4736328125,0.00019273689810717087,0.0030072474663940096
10,32.4736328125,32.474609375,32.47412109375,-5.9308494890331076e-05,0.0015036011246936413
11,32.4736328125,32.47412109375,32.473876953125,6.67120302892954e-05,0.0007518062144301685
12,32.473876953125,32.47412109375,32.4739990234375,3.7012248768064637e-06,0.0003759016941889357
13,32.4739990234375,32.47412109375,32.47406005859375,-2.780377071331941e-05,0.00018795049383992256
14,32.4739990234375,32.47406005859375,32.474029541015625,-1.2051306846672105e-05,9.397533523351461e-05
15,32.4739990234375,32.474029541015625,32.47401428222656,-4.175049475918513e-06,4.698768969517676e-05
16,32.4739990234375,32.47401428222656,32.47400665283203,-2.3691442407880459e-07,2.3493850367197133e-05
