Tolerancia,Tiempo (min),Temperatura (°C),Iteraciones
0.01,32.46875,40.00271414620531,4
0.001,32.47265625,40.00069687979557,7
0.0001,32.47412109375,39.99994069150511,10
1e-05,32.4739990234375,40.00000370122488,12
1e-06,32.47400665283203,39.999999763085576,16
1e-07,32.47400617599487,40.000000009219164,20
1e-08,32.47400617599487,40.000000009219164,20
